NO,TICKER,URL,English_total,Total,CE0_name,CEO_num,Pros1_text,Pros1_color,Pros1_num,Pros2_text,Pros2_color,Pros2_num,Pros3_text,Pros3_color,Pros3_num,Pros4_text,Pros4_color,Pros4_num,Pros5_text,Pros5_color,Pros5_num,Cons1_text,Cons1_color,Cons2_num,Cons2_text,Cons2_color,Cons2_num,Cons3_text,Cons3_color,Cons3_num,Cons4_text,Cons4_color,Cons4_num,Cons5_text,Cons5_color,Cons5_num
74,STE,https://www.glassdoor.com/Reviews/STERIS-Reviews-E333.htm,491,558,"Walter M. Rosebrough, Jr.",240,"Work remotely, great benefits, transparency",great benefits,25,"This is a growing, global company that offers good benefits and so many different career opportunities across the business",good benefits,23,"Focused on teamwork, great people who work there, fun events in my department",great people,19,This was a great company to work for,great company,18,They offer Good work life balance,work life balance,17,"Work remotely, great benefits, transparency",great benefits,25,"This is a growing, global company that offers good benefits and so many different career opportunities across the business",good benefits,23,"Focused on teamwork, great people who work there, fun events in my department",great people,19,This was a great company to work for,great company,18,They offer Good work life balance,work life balance,17
99,HWM,https://www.glassdoor.com/Reviews/Howmet-Aerospace-Reviews-E3311753.htm,157,172,John Plant,61,"Easy work, good pay, nice coworkers",good pay,6,"Good benefits, good hours, friendly coworkers",Good benefits,5,"Good people, good intentions, quality products",Good people,4,"Fair pay, good work life balance",work life balance,2,The people are great to work with,people are great,2,"Easy work, good pay, nice coworkers",good pay,6,"Good benefits, good hours, friendly coworkers",Good benefits,5,"Good people, good intentions, quality products",Good people,4,"Fair pay, good work life balance",work life balance,2,The people are great to work with,people are great,2
83,BIO,https://www.glassdoor.com/Reviews/Bio-Rad-Laboratories-Reviews-E789.htm,716,865,Norman Schwartz,371,Good work life balance and good work culture,work life balance,67,"Friendly, development opportunities, good benefits",good benefits,39,friendly and respectful work environment,work environment,36,Working with great people and excellent management,great people,35,Competitive and stable company with food products,stable company,28,Good work life balance and good work culture,work life balance,67,"Friendly, development opportunities, good benefits",good benefits,39,friendly and respectful work environment,work environment,36,Working with great people and excellent management,great people,35,Competitive and stable company with food products,stable company,28
100,SNA,https://www.glassdoor.com/Reviews/Snap-on-Reviews-E604.htm,358,402,Nick Pinchuk,183,Good Benefits and stable company,Good Benefits,21,"good pay if you can actually get hired into their ""club""",good pay,15,Great Company to work with great benefits,great benefits,15,Great company and Great Benefits,Great company,14,They give you okay pay and benefits,pay and benefits,9,Good Benefits and stable company,Good Benefits,21,"good pay if you can actually get hired into their ""club""",good pay,15,Great Company to work with great benefits,great benefits,15,Great company and Great Benefits,Great company,14,They give you okay pay and benefits,pay and benefits,9
108,UHS,https://www.glassdoor.com/Reviews/Universal-Health-Services-Reviews-E2001.htm,692,716,Alan B. Miller,260,"Stability, Good Benefits, Competitive Bonus Structure",Good Benefits,32,"In IT department, UHS Cares for employees with great benefits and by providing tool to be successful in your role",great benefits,15,There are some great people to work with,great people,12,"Good pay, overtime opportunities, decent staff",Good pay,12,great place to work for experience,great place,11,"Stability, Good Benefits, Competitive Bonus Structure",Good Benefits,32,"In IT department, UHS Cares for employees with great benefits and by providing tool to be successful in your role",great benefits,15,There are some great people to work with,great people,12,"Good pay, overtime opportunities, decent staff",Good pay,12,great place to work for experience,great place,11
101,ATO,https://www.glassdoor.com/Reviews/Atmos-Energy-Reviews-E63.htm,169,189,Kim R. Cocklin,81,Great benefits and nice co workers,Great benefits,22,Great company with good compensation,Great company,10,"Great perks, good benefits, fun coworkers",good benefits,10,Great culture and company to work for,Great culture,8,Overall great work environment and culture,work environment,8,Great benefits and nice co workers,Great benefits,22,Great company with good compensation,Great company,10,"Great perks, good benefits, fun coworkers",good benefits,10,Great culture and company to work for,Great culture,8,Overall great work environment and culture,work environment,8
84,WYNN,https://www.glassdoor.com/Reviews/Wynn-Resorts-Reviews-E15096.htm,550,572,Matt Maddox,269,"Good pay, Christmas Gifts, Good Employee Dining",Good pay,30,really great benefits in general,great benefits,26,"Pride in maintaining high quality service and product, intelligent executive level management, great benefits, great pay",great pay,23,The benefits the hours the edr it's a five star resort,resort,23,Great company that takes care of it's employees,Great company,21,"Good pay, Christmas Gifts, Good Employee Dining",Good pay,30,really great benefits in general,great benefits,26,"Pride in maintaining high quality service and product, intelligent executive level management, great benefits, great pay",great pay,23,The benefits the hours the edr it's a five star resort,resort,23,Great company that takes care of it's employees,Great company,21
109,LNC,https://www.glassdoor.com/Reviews/Lincoln-Financial-Group-Reviews-E403.htm,1215,1358,Dennis R. Glass,568,Excellent culture and great benefits,great benefits,116,Strong company with good benefits,good benefits,89,"Great atmosphere, Work life balance",Work life balance,79,Very friendly work environment - everybody was welcoming,work environment,49,Great people everywhere throughout the summer,Great people,42,Excellent culture and great benefits,great benefits,116,Strong company with good benefits,good benefits,89,"Great atmosphere, Work life balance",Work life balance,79,Very friendly work environment - everybody was welcoming,work environment,49,Great people everywhere throughout the summer,Great people,42
102,BWA,https://www.glassdoor.com/Reviews/BorgWarner-Reviews-E1652.htm,548,863,Fr??d??ric Lissalde,117,"nice colleagues, good work environment",work environment,23,Good benefits (health insurance and bonus),Good benefits,22,"Good pay, located near beautiful town of Oxford",Good pay,21,"Solid company, great pay, great benefits",great benefits,20,"I've worked here 10 years and overall, I think it's a great place to work",great place,18,"nice colleagues, good work environment",work environment,23,Good benefits (health insurance and bonus),Good benefits,22,"Good pay, located near beautiful town of Oxford",Good pay,21,"Solid company, great pay, great benefits",great benefits,20,"I've worked here 10 years and overall, I think it's a great place to work",great place,18
85,UDR,https://www.glassdoor.com/Reviews/UDR-Reviews-E1988.htm,329,338,Thomas W. Toomey,189,"Bonuses,Good Benefits, Corporate perks",Good Benefits,22,great benefits and ways to move up in company,great benefits,11,This is the best property management company I have worked for with the highest commissions,property management,11,Great company to work for I love their use of technology to make our job on-site so much easier,Great company,11,"Commission structure, hourly wage, and spiff opportunities are higher than industry average for Leasing Consultants",Leasing,9,"Bonuses,Good Benefits, Corporate perks",Good Benefits,22,great benefits and ways to move up in company,great benefits,11,This is the best property management company I have worked for with the highest commissions,property management,11,Great company to work for I love their use of technology to make our job on-site so much easier,Great company,11,"Commission structure, hourly wage, and spiff opportunities are higher than industry average for Leasing Consultants",Leasing,9
110,CF,https://www.glassdoor.com/Reviews/CF-Industries-Reviews-E2744.htm,123,147,W. Anthony Will,65,"Good pay for interns, plenty of learning opportunities, diverse tasks",Good pay,7,"Great benefits, great people, great pay",Great benefits,7,"Good company with good people, lots of challenges",good people,6,"Good company, great people, good community",great people,6,Great pay and benefits for the area,pay and benefits,5,"Good pay for interns, plenty of learning opportunities, diverse tasks",Good pay,7,"Great benefits, great people, great pay",Great benefits,7,"Good company with good people, lots of challenges",good people,6,"Good company, great people, good community",great people,6,Great pay and benefits for the area,pay and benefits,5
86,LYV,https://www.glassdoor.com/Reviews/Live-Nation-Entertainment-Reviews-E7601.htm,1082,1373,Michael Rapino,493,"Free concerts, open bar in the lobby, great leadership",Free concerts,77,fun and exciting work environment,work environment,70,Great people in a great industry,Great people,62,Venue marketing always presents new challenges,Venue,36,Great people to work with who are like-minded individuals with the same goals in the music industry as myself,music industry,30,"Free concerts, open bar in the lobby, great leadership",Free concerts,77,fun and exciting work environment,work environment,70,Great people in a great industry,Great people,62,Venue marketing always presents new challenges,Venue,36,Great people to work with who are like-minded individuals with the same goals in the music industry as myself,music industry,30
111,IRM,https://www.glassdoor.com/Reviews/Iron-Mountain-Inc-Reviews-E6774.htm,1455,1857,William Meaney,538,Work life Balance and Good food,Work life Balance,100,good team of people -good benefits,good benefits,73,One of the best place to work with such great people around,great people,52,great company with lots of good people,good people,48,Wonder staff Great work environment,work environment,46,Work life Balance and Good food,Work life Balance,100,good team of people -good benefits,good benefits,73,One of the best place to work with such great people around,great people,52,great company with lots of good people,good people,48,Wonder staff Great work environment,work environment,46
126,FLS,https://www.glassdoor.com/Reviews/Flowserve-Reviews-E1350.htm,807,951,Scott Rowe,219,"flexibility, good benefits, motivating leaders",good benefits,40,best work environment for engineers,work environment,35,Good Company to start your career,Good Company,33,"Benefits, competitive pay, work-life balance",work-life balance,30,Good management and good people,good people,29,"flexibility, good benefits, motivating leaders",good benefits,40,best work environment for engineers,work environment,35,Good Company to start your career,Good Company,33,"Benefits, competitive pay, work-life balance",work-life balance,30,Good management and good people,good people,29
112,ALLE,https://www.glassdoor.com/Reviews/Allegion-Reviews-E750928.htm,327,407,David (Dave) D. Petratis,182,"Work-life balance, great mentorship, fun at work, good career growth in terms of learning",Work-life balance,25,"Good infrastructure, Good Pay, Excellent co workers",Good Pay,17,"Nice people, wonderful work environment, great Benefits",work environment,15,This company actually cares about people and tries to employ nice people,nice people,12,great benefits (not for me as an intern); pay was very good and the office was great,great benefits,12,"Work-life balance, great mentorship, fun at work, good career growth in terms of learning",Work-life balance,25,"Good infrastructure, Good Pay, Excellent co workers",Good Pay,17,"Nice people, wonderful work environment, great Benefits",work environment,15,This company actually cares about people and tries to employ nice people,nice people,12,great benefits (not for me as an intern); pay was very good and the office was great,great benefits,12
113,WRB,https://www.glassdoor.com/Reviews/W-R-Berkley-Reviews-E2020.htm,158,186,"W. Robert Berkley, Jr.",74,"good benefits, pretty office locations",good benefits,11,"Great benefits, flexibility, Work from home, development & growth opportunities",Great benefits,8,"Great leadership, friendly colleagues, great atmosphere, all around great company",great company,8,"Learning opportunities, great people, never bored",great people,7,"work/life balance, great incentives for employees",work/life balance,5,"good benefits, pretty office locations",good benefits,11,"Great benefits, flexibility, Work from home, development & growth opportunities",Great benefits,8,"Great leadership, friendly colleagues, great atmosphere, all around great company",great company,8,"Learning opportunities, great people, never bored",great people,7,"work/life balance, great incentives for employees",work/life balance,5
114,CMA,https://www.glassdoor.com/Reviews/Comerica-Reviews-E1281.htm,985,1032,Curtis C Farmer,96,Work-life balance is good for team members,Work-life balance,79,"Good benefits like 401k matching, life insurance",Good benefits,60,great benefits and simple daily tasks,great benefits,43,"Great people, benefits, and management",Great people,41,"Decent pay, comfortable work environment",work environment,28,Work-life balance is good for team members,Work-life balance,79,"Good benefits like 401k matching, life insurance",Good benefits,60,great benefits and simple daily tasks,great benefits,43,"Great people, benefits, and management",Great people,41,"Decent pay, comfortable work environment",work environment,28
115,WU,https://www.glassdoor.com/Reviews/Western-Union-Reviews-E14655.htm,1530,1783,Hikmet Ersek,833,Great work life balance and compensation,work life balance,144,"Nice place, good benefits, easy to adjust to personal needs",good benefits,70,WU is very good for a healthy work environment,work environment,66,lot to learn with great benefits,great benefits,46,Great people who believe in doing their best for custoers,Great people,38,Great work life balance and compensation,work life balance,144,"Nice place, good benefits, easy to adjust to personal needs",good benefits,70,WU is very good for a healthy work environment,work environment,66,lot to learn with great benefits,great benefits,46,Great people who believe in doing their best for custoers,Great people,38
116,RE,https://www.glassdoor.com/Reviews/Everest-Re-Group-Reviews-E18435.htm,113,138,Juan Andrade,13,"Laid back, work life balance is amazing",work life balance,9,Good work environment in a campus-like setting with an on-site fitness center is another plus,work environment,5,"Collaborative and friendly work environment, good benefits, competitive salaries",good benefits,5,"The employees are great, scared, but nice people",nice people,4,Company becoming more flexible with hours and work from home options,work from home,4,"Laid back, work life balance is amazing",work life balance,9,Good work environment in a campus-like setting with an on-site fitness center is another plus,work environment,5,"Collaborative and friendly work environment, good benefits, competitive salaries",good benefits,5,"The employees are great, scared, but nice people",nice people,4,Company becoming more flexible with hours and work from home options,work from home,4
0,LOW,https://www.glassdoor.com/Reviews/Lowe-s-Home-Improvement-Reviews-E415.htm,27043,27751,Marvin Ellison,4641,Really good company and good pay,good pay,1522,Good benefits even for a seasonal part timer,Good benefits,1089,Generally very flexible and decent pay for retail,decent pay,940,"Loved working there, great benefits",great benefits,838,Lots of great people to work with,great people,754,Really good company and good pay,good pay,1522,Good benefits even for a seasonal part timer,Good benefits,1089,Generally very flexible and decent pay for retail,decent pay,940,"Loved working there, great benefits",great benefits,838,Lots of great people to work with,great people,754
21,AEP,https://www.glassdoor.com/Reviews/AEP-Reviews-E34.htm,491,577,Nick Akins,242,good pay and benefits with great people working along side of you,good pay,38,Pay and benefits were good but no amount of pay is worth dealing with what this job requires,Pay and benefits,31,Great Benefits and Competitive Salary,Great Benefits,31,A great company with good benefits,good benefits,29,"great culture, good work life balance, good response to the covid pandemic",work life balance,25,good pay and benefits with great people working along side of you,good pay,38,Pay and benefits were good but no amount of pay is worth dealing with what this job requires,Pay and benefits,31,Great Benefits and Competitive Salary,Great Benefits,31,A great company with good benefits,good benefits,29,"great culture, good work life balance, good response to the covid pandemic",work life balance,25
28,TER,https://www.glassdoor.com/Reviews/Teradyne-Reviews-E647.htm,300,344,Mark E. Jagiela,119,Managers care about your happiness and work life balance,work life balance,27,Benefits and the working environment plus the company culture,working environment,26,"Challenging technical projects, Flexible hours",Flexible hours,15,flexible work hours (depends on the position),flexible work,15,Great work-life balance and good people,good people,13,Managers care about your happiness and work life balance,work life balance,27,Benefits and the working environment plus the company culture,working environment,26,"Challenging technical projects, Flexible hours",Flexible hours,15,flexible work hours (depends on the position),flexible work,15,Great work-life balance and good people,good people,13
1,BA,https://www.glassdoor.com/Reviews/Boeing-Reviews-E102.htm,10160,11411,David Calhoun,1095,This company provides great benefits,great benefits,1015,Offer a great work life balance,work life balance,944,"Good benefits, they care about their employees",Good benefits,882,"Good pay, could be more organized",Good pay,382,Great pay and benefits - good company,pay and benefits,361,This company provides great benefits,great benefits,1015,Offer a great work life balance,work life balance,944,"Good benefits, they care about their employees",Good benefits,882,"Good pay, could be more organized",Good pay,382,Great pay and benefits - good company,pay and benefits,361
14,SLB,https://www.glassdoor.com/Reviews/Schlumberger-Reviews-E588.htm,7074,8564,Olivier Le Peuch,945,"Good Pay, Nice environment, Friendly people",Good Pay,315,"Great work environment, networking, paid position",work environment,299,nice environment nice people good benefits,good benefits,273,good training experience career plan,good training,251,Good company with good training program,training program,221,"Good Pay, Nice environment, Friendly people",Good Pay,315,"Great work environment, networking, paid position",work environment,299,nice environment nice people good benefits,good benefits,273,good training experience career plan,good training,251,Good company with good training program,training program,221
29,PPL,https://www.glassdoor.com/Reviews/PPL-Reviews-E520.htm,255,317,Vince Sorgi,13,"Good pay, benefits, and co-workers",Good pay,23,Good work environment and benefits,work environment,17,Great benefits and opportunities to move to different groups,Great benefits,15,"Good benefits, good salary, great projects",Good benefits,15,The days of competitive pay and benefits are gone for this company,pay and benefits,14,"Good pay, benefits, and co-workers",Good pay,23,Good work environment and benefits,work environment,17,Great benefits and opportunities to move to different groups,Great benefits,15,"Good benefits, good salary, great projects",Good benefits,15,The days of competitive pay and benefits are gone for this company,pay and benefits,14
2,GS,https://www.glassdoor.com/Reviews/Goldman-Sachs-Reviews-E2800.htm,9281,11317,David M. Solomon,1479,Very smart people enjoy working with them,smart people,719,It's so fun to work here because it has a great work environment,work environment,319,"extremely good pay, perfect company as a reference",good pay,295,Great people and collaborative culture,Great people,284,"Great culture, smart people good compensation",people good,207,Very smart people enjoy working with them,smart people,719,It's so fun to work here because it has a great work environment,work environment,319,"extremely good pay, perfect company as a reference",good pay,295,Great people and collaborative culture,Great people,284,"Great culture, smart people good compensation",people good,207
15,CMG,https://www.glassdoor.com/Reviews/Chipotle-Reviews-E15228.htm,10132,10292,Brian Niccol,1779,free food even when youre not working,free food,1529,a free meal with your lunch break,free meal,780,Physical demanding fast paced not for the faint,fast paced,458,Good pay and good hours also free food,Good pay,266,5250/year tuition reimbursement,tuition reimbursement,256,free food even when youre not working,free food,1529,a free meal with your lunch break,free meal,780,Physical demanding fast paced not for the faint,fast paced,458,Good pay and good hours also free food,Good pay,266,5250/year tuition reimbursement,tuition reimbursement,256
30,ODFL,https://www.glassdoor.com/Reviews/Old-Dominion-Freight-Reviews-E191.htm,650,652,David S. Congdon,366,"Great place, good pay an great benefits",good pay,101,Great pay great hours for having kids and excellent benefits,Great pay,96,Good company to work for clean equipment good pay and benefits,pay and benefits,54,"Great benefits, top of the industry pay, family atmosphere, accommodating to family life",Great benefits,32,Great place to work as well as good benefits,good benefits,31,"Great place, good pay an great benefits",good pay,101,Great pay great hours for having kids and excellent benefits,Great pay,96,Good company to work for clean equipment good pay and benefits,pay and benefits,54,"Great benefits, top of the industry pay, family atmosphere, accommodating to family life",Great benefits,32,Great place to work as well as good benefits,good benefits,31
35,CHD,https://www.glassdoor.com/Reviews/Church-and-Dwight-Reviews-E1254.htm,347,409,Matthew Farrell,125,"Great Team, decent work life balance",work life balance,20,"Great people, good life-work balance",Great people,13,"profit sharing , no rotating shifts,",profit sharing,12,"If you enjoy testing yourself and are a self achiever, it is a great place to excel",great place,10,Church & Dwight gives good pay & has good people to work with the jobs are pretty simple tasks,good people,10,"Great Team, decent work life balance",work life balance,20,"Great people, good life-work balance",Great people,13,"profit sharing , no rotating shifts,",profit sharing,12,"If you enjoy testing yourself and are a self achiever, it is a great place to excel",great place,10,Church & Dwight gives good pay & has good people to work with the jobs are pretty simple tasks,good people,10
31,WDC,https://www.glassdoor.com/Reviews/Western-Digital-Reviews-E1067.htm,2293,2651,David Goeckeler,237,Good work life balance & good team,work life balance,153,very good work environment to work,work environment,127,Good benefits and learning opportunity,Good benefits,71,Flexible working hours & flexible vacation,Flexible working hours,57,it's good company to learn new things,good company,52,Good work life balance & good team,work life balance,153,very good work environment to work,work environment,127,Good benefits and learning opportunity,Good benefits,71,Flexible working hours & flexible vacation,Flexible working hours,57,it's good company to learn new things,good company,52
36,KMX,https://www.glassdoor.com/Reviews/CarMax-Reviews-E6561.htm,4303,4370,Bill Nash,1342,I went from cleaning cars to selling,cars,207,Good company great benefits payswell,great benefits,201,Good benefits and company to work for,Good benefits,165,Great work environment unlike anything I?€?ve ever seen,work environment,164,"Great management,great people to work with",great people,151,I went from cleaning cars to selling,cars,207,Good company great benefits payswell,great benefits,201,Good benefits and company to work for,Good benefits,165,Great work environment unlike anything I?€?ve ever seen,work environment,164,"Great management,great people to work with",great people,151
17,EA,https://www.glassdoor.com/Reviews/Electronic-Arts-Reviews-E1628.htm,2362,2990,Andrew Wilson,908,Friendly and welcoming work environment,work environment,186,Very good company and work life balance,work life balance,147,Great people to work with in teams,Great people,137,Great benefits and compensation,Great benefits,115,Good benefits for health care and family,Good benefits,88,Friendly and welcoming work environment,work environment,186,Very good company and work life balance,work life balance,147,Great people to work with in teams,Great people,137,Great benefits and compensation,Great benefits,115,Good benefits for health care and family,Good benefits,88
32,LVS,https://www.glassdoor.com/Reviews/Las-Vegas-Sands-Reviews-E12171.htm,127,134,Robert G. Goldstein,11,"Great salary, great commission opportunities, great benefits",great benefits,12,good pay,good pay,6,You will meet team member after,team member,6,Excellent Employee Benefits best on the strip,strip,6,great benefits and great people and fun environment,great people,5,"Great salary, great commission opportunities, great benefits",great benefits,12,good pay,good pay,6,You will meet team member after,team member,6,Excellent Employee Benefits best on the strip,strip,6,great benefits and great people and fun environment,great people,5
37,HAL,https://www.glassdoor.com/Reviews/Halliburton-Reviews-E307.htm,4136,4860,Jeff Miller,847,"Great benefits, great co workers and managers",Great benefits,249,hard work good pay decent management,good pay,242,Good money good benefits good company,good benefits,225,Good work environment good benefits,work environment,158,great work life balance to work,work life balance,119,"Great benefits, great co workers and managers",Great benefits,249,hard work good pay decent management,good pay,242,Good money good benefits good company,good benefits,225,Good work environment good benefits,work environment,158,great work life balance to work,work life balance,119
18,CTSH,https://www.glassdoor.com/Reviews/Cognizant-Technology-Solutions-Reviews-E8014.htm,58856,61069,Brian Humphries,12173,Employee friendly Work Life Balance,Work Life Balance,4435,Very good work environment for Employees,good work environment,3320,Good company to work for fresher,Good company,2561,Very good Environment work life balance learning opportunities,good Environment,1415,Work culture is good at cognizant,culture is good,1196,Employee friendly Work Life Balance,Work Life Balance,4435,Very good work environment for Employees,good work environment,3320,Good company to work for fresher,Good company,2561,Very good Environment work life balance learning opportunities,good Environment,1415,Work culture is good at cognizant,culture is good,1196
4,MS,https://www.glassdoor.com/Reviews/Morgan-Stanley-Reviews-E2282.htm,9521,11635,James P. Gorman,4119,Good Work-life balance and good mobility,Work-life balance,625,Diverse work culture with positive work environment,work environment,490,"Great, hardworking and wicked smart people",smart people,388,"great people, very supportive community",great people,340,Good people who cared about my career,Good people,298,Good Work-life balance and good mobility,Work-life balance,625,Diverse work culture with positive work environment,work environment,490,"Great, hardworking and wicked smart people",smart people,388,"great people, very supportive community",great people,340,Good people who cared about my career,Good people,298
33,WST,https://www.glassdoor.com/Reviews/West-Pharmaceutical-Services-Reviews-E729.htm,339,411,Eric M. Green,134,Good basic pay and conducive work environment,work environment,17,"Great people, 401(k) and stock purchase program and growing",Great people,16,Great Company with great leadership,Great Company,15,Good benefits and independent working as well as team,Good benefits,10,"Flexible ,work life balance is promoted",work life balance,9,Good basic pay and conducive work environment,work environment,17,"Great people, 401(k) and stock purchase program and growing",Great people,16,Great Company with great leadership,Great Company,15,Good benefits and independent working as well as team,Good benefits,10,"Flexible ,work life balance is promoted",work life balance,9
19,HPQ,https://www.glassdoor.com/Reviews/HP-Inc-Reviews-E1093161.htm,4345,6011,Enrique Lores,863,great work environment with corporate culture,work environment,301,Flexible working hours (specially good when having kids),Flexible working hours,165,"great environment, great people, huge opportunities to grow",great people,148,One of the best companies with amazing work culture,work culture,137,This is a great place to work in,great place,111,great work environment with corporate culture,work environment,301,Flexible working hours (specially good when having kids),Flexible working hours,165,"great environment, great people, huge opportunities to grow",great people,148,One of the best companies with amazing work culture,work culture,137,This is a great place to work in,great place,111
5,GE,https://www.glassdoor.com/Reviews/GE-Reviews-E277.htm,11136,14465,"H. Lawrence Culp, Jr.",962,good work environment and team to support,work environment,483,"great people, great company to work for",great people,334,good benefits beyond normal in the company,good benefits,317,Great place to come to work everyday,Great place,299,Flexible work from home options,Flexible work,295,good work environment and team to support,work environment,483,"great people, great company to work for",great people,334,good benefits beyond normal in the company,good benefits,317,Great place to come to work everyday,Great place,299,Flexible work from home options,Flexible work,295
20,GD,https://www.glassdoor.com/Reviews/General-Dynamics-Reviews-E276.htm,572,627,Phebe N. Novakovic,145,Good company with really good benefits,good benefits,25,"Great work Balance, and Great people",Great people,24,Good pay not much more i can say,Good pay,22,Great benefits and you are encouraged to explore other opportunities as they arise,Great benefits,22,Great place to work for anytime,Great place,18,Good company with really good benefits,good benefits,25,"Great work Balance, and Great people",Great people,24,Good pay not much more i can say,Good pay,22,Great benefits and you are encouraged to explore other opportunities as they arise,Great benefits,22,Great place to work for anytime,Great place,18
49,WAT,https://www.glassdoor.com/Reviews/Waters-Reviews-E5431.htm,569,626,Udit Batra,68,"Good work life balance, decent benefits",work life balance,32,Very good benefits and a very laid back place to work,good benefits,27,"great people, interesting challenging projects",great people,24,Relaxed work environment for the most part,work environment,22,"Great company culture, great team",Great company,17,"Good work life balance, decent benefits",work life balance,32,Very good benefits and a very laid back place to work,good benefits,27,"great people, interesting challenging projects",great people,24,Relaxed work environment for the most part,work environment,22,"Great company culture, great team",Great company,17
56,EXPD,https://www.glassdoor.com/Reviews/Expeditors-Reviews-E1381.htm,1308,1514,Jeffrey S. Musser,493,Great benefits and Health Insurance,Great benefits,81,"Nice working environment, good benefits",good benefits,64,"Decent work life balance, ability to advance quickly, learn a great deal",work life balance,61,"Good work environment, friendly co-workers",work environment,48,Job Security and Positive Culture,Job Security,46,Great benefits and Health Insurance,Great benefits,81,"Nice working environment, good benefits",good benefits,64,"Decent work life balance, ability to advance quickly, learn a great deal",work life balance,61,"Good work environment, friendly co-workers",work environment,48,Job Security and Positive Culture,Job Security,46
50,RCL,https://www.glassdoor.com/Reviews/Royal-Caribbean-Group-Reviews-E3579.htm,1195,1848,Richard D. Fain,664,Save money and travel the world,travel the world,71,The work environment is extremely warm and welcoming,work environment,57,It was a great company to work for where I learned best technical skills,great company,49,it's just the best place to work and get to meet different people and travel around the world,around the world,43,Great people and supportive management,Great people,41,Save money and travel the world,travel the world,71,The work environment is extremely warm and welcoming,work environment,57,It was a great company to work for where I learned best technical skills,great company,49,it's just the best place to work and get to meet different people and travel around the world,around the world,43,Great people and supportive management,Great people,41
6,RTX,https://www.glassdoor.com/Reviews/Raytheon-Technologies-Reviews-E561.htm,5095,5543,Gregory J. Hayes,474,Stability and good work life balance,work life balance,482,Good company with flexible time off and good benefits,good benefits,353,"9/80 schedule, location, product is cool",9/80 schedule,350,"Great benefits, a lot of extra incentives",Great benefits,250,Flexible work schedule and plenty of rotational opportunities,Flexible work schedule,198,Stability and good work life balance,work life balance,482,Good company with flexible time off and good benefits,good benefits,353,"9/80 schedule, location, product is cool",9/80 schedule,350,"Great benefits, a lot of extra incentives",Great benefits,250,Flexible work schedule and plenty of rotational opportunities,Flexible work schedule,198
57,AKAM,https://www.glassdoor.com/Reviews/Akamai-Reviews-E9219.htm,1868,2036,Tom Leighton,1250,"Salary, Work life balance, interesting work",Work life balance,238,Amazing benefits and great work culture,work culture,124,Smart people and great leadership,Smart people,113,"work environment, cutting edge technology",work environment,76,They also have pretty good benefits,good benefits,71,"Salary, Work life balance, interesting work",Work life balance,238,Amazing benefits and great work culture,work culture,124,Smart people and great leadership,Smart people,113,"work environment, cutting edge technology",work environment,76,They also have pretty good benefits,good benefits,71
58,DGX,https://www.glassdoor.com/Reviews/Quest-Diagnostics-Reviews-E6655.htm,3087,3301,Steve Rusckowski,1245,Good name in drs good benefits,good benefits,227,"Good Pay Great Benefits, Very nice Management",Great Benefits,162,Good pay good benefits free codfee,Good pay,86,"Great company, treats employees well",Great company,73,Great work environment to work for,work environment,57,Good name in drs good benefits,good benefits,227,"Good Pay Great Benefits, Very nice Management",Great Benefits,162,Good pay good benefits free codfee,Good pay,86,"Great company, treats employees well",Great company,73,Great work environment to work for,work environment,57
84,MOS,https://www.glassdoor.com/Reviews/The-Mosaic-Company-Reviews-E18767.htm,213,323,Joc O?€?Rourke,77,"Good wages, good benefits and perks",good benefits,16,"Good pay, great benefits, lots of vacation",Good pay,16,Great company with great benefits and savings plans,great benefits,9,Great pay and great team of people to work with and for,Great pay,9,Company has become more progressive in work life balance,work life balance,8,"Good wages, good benefits and perks",good benefits,16,"Good pay, great benefits, lots of vacation",Good pay,16,Great company with great benefits and savings plans,great benefits,9,Great pay and great team of people to work with and for,Great pay,9,Company has become more progressive in work life balance,work life balance,8
59,CAH,https://www.glassdoor.com/Reviews/Cardinal-Health-Reviews-E1227.htm,2731,2964,Mike Kaufmann,550,Good Benefits that start on frst day,Good Benefits,182,Flexible work hours and work life balance,work life balance,145,"Great coworkers, great benefits, able to work remotely",great benefits,144,good benefit package; great company,great company,93,"They look to promote from within, great people, very team oriented",great people,83,Good Benefits that start on frst day,Good Benefits,182,Flexible work hours and work life balance,work life balance,145,"Great coworkers, great benefits, able to work remotely",great benefits,144,good benefit package; great company,great company,93,"They look to promote from within, great people, very team oriented",great people,83
71,NLOK,https://www.glassdoor.com/Reviews/NortonLifeLock-Reviews-E1931.htm,4495,4814,Vincent Pilette,175,"Employee friendly, work life balance is better",work life balance,699,Good benefits and work life balance,Good benefits,324,No real pressure but work environment supports great learning opportunities,work environment,274,"It was really a great opportunity to work with Symantec which is currently known as Norton Life Lock, good work culture, environment",good work culture,219,"Great people, work and life balance;",Great people,161,"Employee friendly, work life balance is better",work life balance,699,Good benefits and work life balance,Good benefits,324,No real pressure but work environment supports great learning opportunities,work environment,274,"It was really a great opportunity to work with Symantec which is currently known as Norton Life Lock, good work culture, environment",good work culture,219,"Great people, work and life balance;",Great people,161
